ticker,name_source,location,exchange_source,currency,asset_class,exchange_code,figi,composite_figi,share_class_figi,security_name,security_type,security_type_2,market_sector,security_description,match_count,status
6669,WIWYNN CORPORATION,Taiwan,Taiwan Stock Exchange,USD,Equity,TT (Taiwan Stock Exchange),BBG00J4ZF054,BBG00J4ZF036,BBG00J4ZF090,WIWYNN CORP,Common Stock,Common Stock,Equity,6669,1,MATCH
NVDA,NVIDIA,United States,NASDAQ,USD,Equity,US,BBG000BBJQV0,BBG000BBJQV0,BBG001S5TZJ6,NVIDIA CORP,Common Stock,Common Stock,Equity,NVDA,1,MATCH
BMY,BRISTOL MYERS SQUIBB,United States,NYSE,USD,Equity,US,BBG000DQLV23,BBG000DQLV23,BBG001S8N8J6,BRISTOL-MYERS SQUIBB CO,Common Stock,Common Stock,Equity,BMY,1,MATCH
VWS,VESTAS WIND SYSTEMS,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity,DC,BBG000BJBK53,BBG000BJBJM7,BBG001S7TVH3,VESTAS WIND SYSTEMS A/S,Common Stock,Common Stock,Equity,VWS,1,MATCH
TSN,TYSON FOODS INC CLASS A,United States,NYSE,USD,Equity,US,BBG000DKCC19,BBG000DKCC19,BBG001S871D5,TYSON FOODS INC-CL A,Common Stock,Common Stock,Equity,TSN,1,MATCH
FSLR,FIRST SOLAR,United States,NASDAQ,USD,Equity,US,BBG000BFL116,BBG000BFL116,BBG001S991Z7,FIRST SOLAR INC,Common Stock,Common Stock,Equity,FSLR,1,MATCH
MRVL,MARVELL TECHNOLOGY,United States,NASDAQ,USD,Equity,US,BBG00ZXBJ153,BBG00ZXBJ153,BBG00ZXBJ162,MARVELL TECHNOLOGY INC,Common Stock,Common Stock,Equity,MRVL,1,MATCH
9020,EAST JAPAN RAILWAY,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000BJ2DR5,BBG000BJ2DR5,BBG001S7F0R5,EAST JAPAN RAILWAY CO,Common Stock,Common Stock,Equity,9020,1,MATCH
NOVN,NOVARTIS AG,Switzerland,SIX Swiss Exchange,USD,Equity,SW,BBG000NQV2C4,BBG000NQV2C4,BBG001SD31N7,NOVARTIS AG-REG,Common Stock,Common Stock,Equity,NOVN,1,MATCH
288,WH GROUP,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00699M8Q7,BBG004MMZ474,BBG004MMZ492,WH GROUP LTD,Common Stock,Common Stock,Equity,288,1,MATCH
1216,UNI-PRESIDENT ENTERPRISES,Taiwan,Taiwan Stock Exchange,USD,Equity,TT (Taiwan Stock Exchange),BBG000BF1ZZ6,BBG000BF1ZR5,BBG001S6JRT2,UNI-PRESIDENT ENTERPRISES CO,Common Stock,Common Stock,Equity,1216,1,MATCH
2015,LI AUTO CLASS A,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG0120WC125,BBG00W283H17,BBG00W283H26,LI AUTO INC-CLASS A,Common Stock,Common Stock,Equity,2015,1,MATCH
9698,GDS HOLDINGS CLASS A,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG00XYB3ZD0,BBG00F0G31Y7,BBG00F0G31Z6,GDS HOLDINGS LTD-CL A,Common Stock,Common Stock,Equity,9698,1,MATCH
KMB,KIMBERLY CLARK,United States,NASDAQ,USD,Equity,US,BBG000BMW2Z0,BBG000BMW2Z0,BBG001S5SLZ0,KIMBERLY-CLARK CORP,Common Stock,Common Stock,Equity,KMB,1,MATCH
9866,NIO CLASS A,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG015PB0HH9,BBG00LVBT7N2,BBG00LVBT7P0,NIO INC-CLASS A,Common Stock,Common Stock,Equity,9866,1,MATCH
EQIX,EQUINIX REIT,United States,NASDAQ,USD,Equity,US,BBG000MBDGM6,BBG000MBDGM6,BBG001SKBNS9,EQUINIX INC,REIT,REIT,Equity,EQIX,1,MATCH
9022,CENTRAL JAPAN RAILWAY,Japan,Tokyo Stock Exchange,USD,Equity,JP,BBG000JD6QG9,BBG000JD6QG9,BBG001SB2G40,CENTRAL JAPAN RAILWAY CO,Common Stock,Common Stock,Equity,9022,1,MATCH
9868,XPENG CLASS A INC,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity,HK,BBG011LRHTM7,BBG00WLM1N23,BBG00WLM1N32,XPENG INC - CLASS A SHARES,Common Stock,Common Stock,Equity,9868,1,MATCH
ESSITY B,ESSITY CLASS B,Sweden,Nasdaq Omx Nordic,USD,Equity,SS,,,,,,,,,0,NO_MATCH
REGN,REGENERON PHARMACEUTICALS,United States,NASDAQ,USD,Equity,US,BBG000C734W3,BBG000C734W3,BBG001S6PX49,REGENERON PHARMACEUTICALS,Common Stock,Common Stock,Equity,REGN,1,MATCH
VRTX,VERTEX PHARMACEUTICALS,United States,NASDAQ,USD,Equity,US,BBG000C1S2X2,BBG000C1S2X2,BBG001S68LJ8,VERTEX PHARMACEUTICALS INC,Common Stock,Common Stock,Equity,VRTX,1,MATCH
CSL,CSL,Australia,Asx - All Markets,USD,Equity,AU,BBG000BKBN81,BBG000BKBN81,BBG001S7YNK1,CSL LTD,Common Stock,Common Stock,Equity,CSL,1,MATCH
WY,WEYERHAEUSER REIT,United States,NYSE,USD,Equity,US,BBG000BX3BL3,BBG000BX3BL3,BBG001S5XL11,WEYERHAEUSER CO,REIT,REIT,Equity,WY,1,MATCH
HOT,HOCHTIEF AG,Germany,Xetra,USD,Equity,GY,BBG000BC3WH8,BBG000BC3V44,BBG001S68MQ8,HOCHTIEF AG,Common Stock,Common Stock,Equity,HOT,1,MATCH
ANA,ACCIONA,Spain,Bolsa De Madrid,USD,Equity,SM,BBG000BMJCK9,BBG000BMJCK9,BBG001S9RSB4,ACCIONA SA,Common Stock,Common Stock,Equity,ANA,1,MATCH
DLR,DIGITAL REALTY TRUST REIT,United States,NYSE,USD,Equity,US,BBG000Q5ZRM7,BBG000Q5ZRM7,BBG001SM0K30,DIGITAL REALTY TRUST INC,REIT,REIT,Equity,DLR,1,MATCH
VNA,VONOVIA SE,Germany,Xetra,USD,Equity,GY,BBG004C6MBZ7,BBG000BT0ZM1,BBG001SC00P2,VONOVIA SE,Common Stock,Common Stock,Equity,VNA,1,MATCH
MOWI,MOWI,Norway,Oslo Bors Asa,USD,Equity,NO,BBG000JDLY02,BBG000JDLX22,BBG001SB2PP7,MOWI ASA,Common Stock,Common Stock,Equity,MOWI,1,MATCH
MAS,MASCO,United States,NYSE,USD,Equity,US,BBG000BNNKG9,BBG000BNNKG9,BBG001S5SZ70,MASCO CORP,Common Stock,Common Stock,Equity,MAS,1,MATCH
SIGMAFA,ALFA A,Mexico,Bolsa Mexicana De Valores,USD,Equity,MM,BBG000BQC595,BBG000BQC595,BBG001SDG7X9,SIGMA FOODS SAB DE CV,Common Stock,Common Stock,Equity,SIGMAFA,1,MATCH
