Ticker,Name,Location,Exchange,Currency,Asset Class
6669,WIWYNN CORPORATION,Taiwan,Taiwan Stock Exchange,USD,Equity
NVDA,NVIDIA,United States,NASDAQ,USD,Equity
BMY,BRISTOL MYERS SQUIBB,United States,NYSE,USD,Equity
VWS,VESTAS WIND SYSTEMS,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity
TSN,TYSON FOODS INC CLASS A,United States,NYSE,USD,Equity
FSLR,FIRST SOLAR,United States,NASDAQ,USD,Equity
MRVL,MARVELL TECHNOLOGY,United States,NASDAQ,USD,Equity
9020,EAST JAPAN RAILWAY,Japan,Tokyo Stock Exchange,USD,Equity
NOVN,NOVARTIS AG,Switzerland,SIX Swiss Exchange,USD,Equity
288,WH GROUP,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,Equity
1216,UNI-PRESIDENT ENTERPRISES,Taiwan,Taiwan Stock Exchange,USD,Equity
2015,LI AUTO CLASS A,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
9698,GDS HOLDINGS CLASS A,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
KMB,KIMBERLY CLARK,United States,NASDAQ,USD,Equity
9866,NIO CLASS A,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
EQIX,EQUINIX REIT,United States,NASDAQ,USD,Equity
9022,CENTRAL JAPAN RAILWAY,Japan,Tokyo Stock Exchange,USD,Equity
9868,XPENG CLASS A INC,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
ESSITY B,ESSITY CLASS B,Sweden,Nasdaq Omx Nordic,USD,Equity
REGN,REGENERON PHARMACEUTICALS,United States,NASDAQ,USD,Equity
VRTX,VERTEX PHARMACEUTICALS,United States,NASDAQ,USD,Equity
CSL,CSL,Australia,Asx - All Markets,USD,Equity
WY,WEYERHAEUSER REIT,United States,NYSE,USD,Equity
HOT,HOCHTIEF AG,Germany,Xetra,USD,Equity
ANA,ACCIONA,Spain,Bolsa De Madrid,USD,Equity
DLR,DIGITAL REALTY TRUST REIT,United States,NYSE,USD,Equity
VNA,VONOVIA SE,Germany,Xetra,USD,Equity
MOWI,MOWI,Norway,Oslo Bors Asa,USD,Equity
MAS,MASCO,United States,NYSE,USD,Equity
SIGMAFA,ALFA A,Mexico,Bolsa Mexicana De Valores,USD,Equity
300750,CONTEMPORARY AMPEREX TECHNOLOGY A,China,Shenzhen Stock Exchange,USD,Equity
SAP,SAPUTO,Canada,Toronto Stock Exchange,USD,Equity
2319,CHINA MENGNIU DAIRY LTD,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
4568,DAIICHI SANKYO LTD,Japan,Tokyo Stock Exchange,USD,Equity
PSON,PEARSON PLC,United Kingdom,London Stock Exchange,USD,Equity
9863,ZHEJIANG LEAPMOTOR TECHNOLOGY LTD,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
ORSTED,ORSTED A/S,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity
RIVN,RIVIAN AUTOMOTIVE INC CLASS A,United States,NASDAQ,USD,Equity
EW,EDWARDS LIFESCIENCES,United States,NYSE,USD,Equity
373220,LG ENERGY SOLUTION LTD,Korea (South),Korea Exchange (Stock Market),USD,Equity
688472,CSI SOLAR LTD A,China,Shanghai Stock Exchange,USD,Equity
DXCM,DEXCOM INC,United States,NASDAQ,USD,Equity
9901,NEW ORIENTAL EDUCATION &amp; TECHNOLOG,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
TAL,TAL EDUCATION GROUP ADR REPTG,China,NYSE,USD,Equity
ARGX,ARGENX,Belgium,Nyse Euronext - Euronext Brussels,USD,Equity
UU.,UNITED UTILITIES GROUP PLC,United Kingdom,London Stock Exchange,USD,Equity
002129,TCL ZHONGHUAN RENEWABLE ENERGY TEC,China,Shenzhen Stock Exchange,USD,Equity
ALNY,ALNYLAM PHARMACEUTICALS,United States,NASDAQ,USD,Equity
8113,UNICHARM,Japan,Tokyo Stock Exchange,USD,Equity
66,MTR CORPORATION,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,Equity
INCY,INCYTE CORP,United States,NASDAQ,USD,Equity
SCG,SCENTRE GROUP,Australia,Asx - All Markets,USD,Equity
SOON,SONOVA HOLDING AG,Switzerland,SIX Swiss Exchange,USD,Equity
4543,TERUMO,Japan,Tokyo Stock Exchange,USD,Equity
4523,EISAI,Japan,Tokyo Stock Exchange,USD,Equity
URW,UNIBAIL RODAMCO WE STAPLED UNITS,France,Nyse Euronext - Euronext Paris,USD,Equity
GMAB,GENMAB,Denmark,Omx Nordic Exchange Copenhagen A/S,USD,Equity
SUZLON,SUZLON ENERGY,India,National Stock Exchange Of India,USD,Equity
6160,BEONE MEDICINES AG,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
NBIX,NEUROCRINE BIOSCIENCES,United States,NASDAQ,USD,Equity
322,TINGYI (CAYMAN ISLANDS) HOLDINGS,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
LI,KLEPIERRE REIT SA,France,Nyse Euronext - Euronext Paris,USD,Equity
SALM,SALMAR,Norway,Oslo Bors Asa,USD,Equity
UTHR,UNITED THERAPEUTICS,United States,NASDAQ,USD,Equity
601127,SERES GROUP A,China,Shanghai Stock Exchange,USD,Equity
916,CHINA LONGYUAN POWER GROUP H,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
ELI,ELIA GROUP SA,Belgium,Nyse Euronext - Euronext Brussels,USD,Equity
SUI,SUN COMMUNITIES REIT INC,United States,NYSE,USD,Equity
1044,HENGAN INTERNATIONAL GROUP,China,Hong Kong Exchanges And Clearing Ltd,USD,Equity
4519,CHUGAI PHARMACEUTICAL LTD,Japan,Tokyo Stock Exchange,USD,Equity
010120,LS ELECTRIC LTD,Korea (South),Korea Exchange (Stock Market),USD,Equity
SCA B,SVENSKA CELLULOSA B,Sweden,Nasdaq Omx Nordic,USD,Equity
